#wl,nm	T,%
2295	91.6554031659
2294	91.5507019535
2293	91.4261232592
2292	91.2740091236
2291	91.0720983601
2290	90.90705991
2289	90.6597239725
2288	90.4162684942
2287	90.1929755846
2286	89.9335468641
2285	89.6607978529
2284	89.4499145032
2283	89.1694124935
2282	88.9650388154
2281	88.7709048206
2280	88.5725181397
2279	88.4136963547
2278	88.242694657
2277	88.10881869
2276	87.9971722404
2275	87.9533863694
2274	87.8388414502
2273	87.7885379772
2272	87.740958756
2271	87.7333324558
2270	87.7632912118
2269	87.7024867392
2268	87.6854127083
2267	87.7595928905
2266	87.7301884888
2265	87.7686050764
2264	87.7912147093
2263	87.7882053709
2262	87.8437593385
2261	87.8263606108
2260	87.8156774629
2259	87.8010900856
2258	87.8055248991
2257	87.8055486589
2256	87.7681774307
2255	87.7462805301
2254	87.711293017
2253	87.6940843472
2252	87.7197745981
2251	87.6916848026
2250	87.7049734031
2249	87.725112212
2248	87.7303389572
2247	87.7407528583
2246	87.8411538858
2245	87.9008021406
2244	88.0128049667
2243	88.0747102176
2242	88.2037791547
2241	88.3436421188
2240	88.536049712
2239	88.6860018805
2238	88.8528538514
2237	89.04379637
2236	89.2452161387
2235	89.4280572022
2234	89.6467173206
2233	89.8083267065
2232	90.0399269688
2231	90.2199091623
2230	90.3698375709
2229	90.5654366405
2228	90.6717613264
2227	90.7433281359
2226	90.8905719028
2225	90.9346745402
2224	90.9977835389
2223	90.932900619
2222	90.8898908399
2221	90.9164759713
2220	90.7962053818
2219	90.6675878398
2218	90.5461927225
2217	90.320120132
2216	90.1830922884
2215	89.9732859675
2214	89.7688568603
2213	89.580440595
2212	89.3266425055
2211	89.1911193259
2210	88.9594794639
2209	88.6868096417
2208	88.5429236802
2207	88.285791545
2206	88.1554555214
2205	87.9701832232
2204	87.8143786966
2203	87.7316456435
2202	87.6276017343
2201	87.5492322257
2200	87.4648994797
2199	87.4182072191
2198	87.3911469224
2197	87.3687907068
2196	87.3706596673
2195	87.4248435995
2194	87.4220639185
2193	87.4682572644
2192	87.5438233322
2191	87.5860095103
2190	87.6526663514
2189	87.6936329521
2188	87.7653898298
2187	87.7889339431
2186	87.8842032646
2185	87.9182879772
2184	87.9614719846
2183	88.0542704821
2182	88.0758743554
2181	88.1422540298
2180	88.2053313487
2179	88.2658348844
2178	88.3462079821
2177	88.4058007973
2176	88.4724972382
2175	88.5574952072
2174	88.7048102432
2173	88.8641943025
2172	88.9404255934
2171	89.093878095
2170	89.2915203534
2169	89.5120890216
2168	89.7006874247
2167	89.9566633317
2166	90.2040546984
2165	90.4672688596
2164	90.743526124
2163	91.0207891378
2162	91.3485536022
2161	91.6392715352
2160	91.9405934168
2159	92.201487212
2158	92.5406238073
2157	92.8153051282
2156	93.045242338
2155	93.3104917577
2154	93.4982665598
2153	93.6320158077
2152	93.78348848
2151	93.9244126331
2150	93.9621402274
2149	93.9673828125
2148	93.9674540816
2147	93.9134047884
2146	93.8113248582
2145	93.6470704199
2144	93.512727218
2143	93.3030476058
2142	93.0894479347
2141	92.8414071848
2140	92.5451694895
2139	92.3079227563
2138	92.0255042768
2137	91.7647530197
2136	91.4652921788
2135	91.1876807084
2134	90.9624713291
2133	90.669195463
2132	90.4534338247
2131	90.2542948118
2130	90.0166046035
2129	89.8460463913
2128	89.6334049498
2127	89.4785190532
2126	89.416447494
2125	89.2528820386
2124	89.1406257952
2123	89.0450951363
2122	88.964714129
2121	88.9326963547
2120	88.8373003245
2119	88.7898319721
2118	88.7067504728
2117	88.6834597769
2116	88.6552670326
2115	88.5954128698
2114	88.5348618145
2113	88.5286926691
2112	88.5133767196
2111	88.4917886862
2110	88.4777002236
2109	88.4694641399
2108	88.5020600284
2107	88.563236707
2106	88.6161456326
2105	88.6755167103
2104	88.787068131
2103	88.8581597857
2102	89.0100521837
2101	89.1553953103
2100	89.2920747077
2099	89.456242037
2098	89.7051063983
2097	89.8710001396
2096	90.069854045
2095	90.3580932341
2094	90.5460264142
2093	90.7800183115
2092	90.9822775316
2091	91.2362260897
2090	91.3776570773
2089	91.6510554614
2088	91.7788256425
2087	91.9599957232
2086	92.1114129663
2085	92.2042748129
2084	92.3593507673
2083	92.4250335389
2082	92.5634631081
2081	92.601246142
2080	92.7350349896
2079	92.8022382652
2078	92.8799900704
2077	92.9457203512
2076	93.0379169748
2075	93.1318162505
2074	93.1352690745
2073	93.2600615865
2072	93.3169618401
2071	93.4030843472
2070	93.4041455361
2069	93.4258840483
2068	93.4017143117
2067	93.3700687435
2066	93.2664445495
2065	93.1272309686
2064	92.9927848178
2063	92.7246844481
2062	92.5506654919
2061	92.2875859697
2060	92.0532693755
2059	91.7656558202
2058	91.5588192485
2057	91.3840558802
2056	91.2682597039
2055	91.2525873882
2054	91.2896814392
2053	91.5363759135
2052	91.827996647
2051	92.1705227067
2050	92.6442163214
2049	93.0627519344
2048	93.4326629772
2047	93.6419703834
2046	93.4616555836
2045	92.8581723587
2044	91.5118418908
2043	89.3498064927
2042	86.4083128545
2041	82.2903104581
2040	77.1745935995
2039	71.424143924
2038	65.3112748669
2037	58.7689494819
2036	52.4560584165
2035	46.5456861674
2034	40.6953620937
2033	35.5405951042
2032	31.1121794617
2031	27.1972202869
2030	23.8177075577
2029	21.0286111696
2028	18.5274154164
2027	16.3291283769
2026	14.6772263101
2025	13.1803051792
2024	11.9668736192
2023	10.9101414768
2022	10.0089743155
2021	9.2812232441
2020	8.5977401334
2019	8.1120749906
2018	7.5746135907
2017	7.227312183
2016	6.8393624358
2015	6.486269042
2014	6.1223568795
2013	5.8097890776
2012	5.4457348626
2011	5.0683559102
2010	4.6702738982
2009	4.1867677571
2008	3.7514404803
2007	3.3174785432
2006	2.8330683631
2005	2.4317829898
2004	2.0425613262
2003	1.7364550639
2002	1.3963023206
2001	1.1404893786
2000	0.9732988537
