#Wavelength(nm)	T%
1100		0.004430821
1099.5		0.0045365
1099		0.003718108
1098.5		0.003924821
1098		0.004021975
1097.5		0.003975614
1097		0.004229845
1096.5		0.004453023
1096		0.004231595
1095.5		0.00467632
1095		0.00422013
1094.5		0.00477958
1094		0.003841562
1093.5		0.004213034
1093		0.003921336
1092.5		0.004059226
1092		0.004449649
1091.5		0.004105209
1091		0.004501718
1090.5		0.004080399
1090		0.004458891
1089.5		0.00427722
1089		0.003766677
1088.5		0.003796812
1088		0.00422895
1087.5		0.004352949
1087		0.004459483
1086.5		0.004602338
1086		0.004502821
1085.5		0.004482458
1085		0.004339059
1084.5		0.004089192
1084		0.004227698
1083.5		0.004309438
1083		0.004428742
1082.5		0.004810552
1082		0.004306752
1081.5		0.004496793
1081		0.004381083
1080.5		0.004346359
1080		0.004257259
1079.5		0.004617102
1079		0.004831072
1078.5		0.004748418
1078		0.0040455
1077.5		0.004557297
1077		0.004418524
1076.5		0.004397017
1076		0.00463
1075.5		0.004754316
1075		0.005112425
1074.5		0.004777038
1074		0.004420239
1073.5		0.00455268
1073		0.004509422
1072.5		0.004587242
1072		0.004068793
1071.5		0.004640968
1071		0.003778215
1070.5		0.004249603
1070		0.003804867
1069.5		0.004195856
1069		0.004417816
1068.5		0.004190864
1068		0.004321071
1067.5		0.004105025
1067		0.004959663
1066.5		0.004304873
1066		0.004257393
1065.5		0.004666379
1065		0.004648154
1064.5		0.004288051
1064		0.004316991
1063.5		0.004412902
1063		0.00401613
1062.5		0.004103034
1062		0.004700771
1061.5		0.004726175
1061		0.004623199
1060.5		0.004839819
1060		0.004381315
1059.5		0.004841684
1059		0.004199612
1058.5		0.003908911
1058		0.003863171
1057.5		0.004919051
1057		0.004088439
1056.5		0.004200997
1056		0.004512141
1055.5		0.004464609
1055		0.004363646
1054.5		0.00465131
1054		0.00444126
1053.5		0.004895113
1053		0.003863884
1052.5		0.004362428
1052		0.004356452
1051.5		0.004939598
1051		0.004203675
1050.5		0.004579134
1050		0.004615441
1049.5		0.004647075
1049		0.004459966
1048.5		0.003869169
1048		0.004363606
1047.5		0.004577936
1047		0.004510261
1046.5		0.004042745
1046		0.004400256
1045.5		0.004574582
1045		0.004463592
1044.5		0.004590169
1044		0.004414505
1043.5		0.004017253
1043		0.004668605
1042.5		0.004000109
1042		0.004163631
1041.5		0.004430358
1041		0.004184943
1040.5		0.004059311
1040		0.004265529
1039.5		0.004670464
1039		0.004305216
1038.5		0.004277031
1038		0.004294554
1037.5		0.004174905
1037		0.004195536
1036.5		0.004739032
1036		0.004498904
1035.5		0.004391459
1035		0.004149359
1034.5		0.0041895
1034		0.004198946
1033.5		0.004129364
1033		0.004889166
1032.5		0.004515205
1032		0.004149221
1031.5		0.004504524
1031		0.004465501
1030.5		0.003578007
1030		0.00407337
1029.5		0.004545907
1029		0.003970176
1028.5		0.004599015
1028		0.004222781
1027.5		0.004205714
1027		0.004521749
1026.5		0.004021526
1026		0.003671106
1025.5		0.004091929
1025		0.004267022
1024.5		0.004285493
1024		0.003970013
1023.5		0.004183535
1023		0.003966452
1022.5		0.004380604
1022		0.004373332
1021.5		0.004328294
1021		0.004096924
1020.5		0.004349156
1020		0.004490233
1019.5		0.004506318
1019		0.004563196
1018.5		0.004378987
1018		0.0047787
1017.5		0.004144065
1017		0.004417314
1016.5		0.003901203
1016		0.004064198
1015.5		0.004362102
1015		0.004292877
1014.5		0.004082093
1014		0.004552159
1013.5		0.003560735
1013		0.004327332
1012.5		0.003972473
1012		0.004349302
1011.5		0.00423051
1011		0.004020118
1010.5		0.004927692
1010		0.004791085
1009.5		0.00415675
1009		0.004715413
1008.5		0.004480398
1008		0.00457716
1007.5		0.003981359
1007		0.00447022
1006.5		0.004739952
1006		0.004135844
1005.5		0.00450987
1005		0.004632009
1004.5		0.004428631
1004		0.004305264
1003.5		0.003981613
1003		0.004431522
1002.5		0.003533444
1002		0.004569435
1001.5		0.004262746
1001		0.005041526
1000.5		0.004376105
1000		0.003806439
999.5		0.00417617
999		0.004093689
998.5		0.004207612
998		0.004531669
997.5		0.004118047
997		0.004355464
996.5		0.00502352
996		0.004173162
995.5		0.003964857
995		0.004621744
994.5		0.004410046
994		0.004113782
993.5		0.004887488
993		0.003878605
992.5		0.00455647
992		0.004069596
991.5		0.004634812
991		0.004742282
990.5		0.004635779
990		0.004692941
989.5		0.004065131
989		0.004442653
988.5		0.004106571
988		0.004432169
987.5		0.004231503
987		0.004239486
986.5		0.004066558
986		0.00441883
985.5		0.004269372
985		0.004135814
984.5		0.004614212
984		0.004490114
983.5		0.004042995
983		0.005008189
982.5		0.004441533
982		0.004230516
981.5		0.004294603
981		0.003889231
980.5		0.004580587
980		0.004067324
979.5		0.004122551
979		0.004466802
978.5		0.004522678
978		0.004303588
977.5		0.003968205
977		0.004011902
976.5		0.004142048
976		0.004242643
975.5		0.003798671
975		0.004489117
974.5		0.00436502
974		0.004730777
973.5		0.004606774
973		0.004161842
972.5		0.004252729
972		0.004314813
971.5		0.004799732
971		0.00464627
970.5		0.004502858
970		0.004674156
969.5		0.004065983
969		0.004491239
968.5		0.004409585
968		0.004706994
967.5		0.004539247
967		0.004488752
966.5		0.004759923
966		0.004608911
965.5		0.004910276
965		0.004566493
964.5		0.004687948
964		0.004816239
963.5		0.004230853
963		0.004210642
962.5		0.004327993
962		0.00461338
961.5		0.004938743
961		0.004451894
960.5		0.004888143
960		0.004494392
959.5		0.004668876
959		0.003754735
958.5		0.004607694
958		0.00425849
957.5		0.004197075
957		0.00442834
